sex,age,reason,c_birth,time\geo	BE 	DE 	IE 	EL 	ES 	FR 	IT 	CY 	LT 	LU 	NL 	AT 	PT 	SE 	UK 	NO 	CH 
F,Y25-54,WRK_JOB,NEU_HDI_M,2008	: c	: 	42 	: c	9 	: u	13 	80 	: 	: c	2 u	: u	: u	: c	15 	: c	15 u
F,Y25-54,WRK_JOB,NEU_NHDI,2008	: 	: 	: 	: 	: 	: 	: 	: 	: 	: c	: 	: c	: 	: 	: c	: 	: 
F,Y25-54,WRK_JOB,NRP,2008	: 	7 	: 	: 	: 	: 	: 	: 	: 	: 	: c	: 	: 	: 	: 	: 	: c
F,Y25-54,WRK_NJOB,EU27_FOR,2008	8 u	: 	30 	41 	39 	: u	35 	17 	: 	8 	5 u	18 	: u	: u	25 	10 u	13 
F,Y25-54,WRK_NJOB,FOR,2008	7 	6 	24 	45 	42 	10 	34 	16 	: u	7 	4 	16 	27 	2 u	12 	5 	11 
F,Y25-54,WRK_NJOB,NEU_HDI_H,2008	: u	: 	15 	46 	44 	: u	34 	24 	: u	: c	: u	16 	34 	: u	8 	: u	9 
F,Y25-54,WRK_NJOB,NEU_HDI_L,2008	: c	: 	: u	: u	18 u	: u	24 	: 	: 	: c	: u	: c	: u	: 	4 u	: c	: u
F,Y25-54,WRK_NJOB,NEU_HDI_M,2008	: u	: 	11 	53 	44 	: u	35 	5 u	: c	: u	4 	: u	32 	: c	7 	: c	: u
F,Y25-54,WRK_NJOB,NEU_NHDI,2008	: 	: 	: c	: 	: 	: 	: u	: 	: 	: 	9 u	: c	: 	: 	: 	: c	: 
F,Y25-54,WRK_NJOB,NRP,2008	: 	6 	: 	65 u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: c	: 	: 	: 
F,Y55-74,EDUC,EU27_FOR,2008	: c	: 	: u	: c	: 	: u	: u	: 	: 	: c	: c	: u	: c	8 u	14 u	: 	4 u
F,Y55-74,EDUC,FOR,2008	: u	: u	: u	: c	: c	: u	3 u	: 	: c	: c	4 u	: u	: u	4 u	14 	: 	4 u
F,Y55-74,EDUC,NEU_HDI_H,2008	: c	: 	: c	: 	: c	: u	: u	: 	: c	: 	: 	: c	: 	: c	21 u	: 	: u
F,Y55-74,EDUC,NEU_HDI_L,2008	: u	: 	: 	: 	: 	: c	: c	: 	: 	: 	: 	: 	: c	: 	: u	: 	: 
F,Y55-74,EDUC,NEU_HDI_M,2008	: c	: 	: c	: 	: 	: c	: 	: 	: 	: 	7 u	: 	: c	: 	: u	: 	: u
F,Y55-74,EDUC,NEU_NHDI,2008	: 	: 	: 	: 	: 	: 	: c	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 
F,Y55-74,EDUC,NRP,2008	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,Y55-74,FAM,EU27_FOR,2008	64 	: 	53 	41 u	26 	61 	75 	36 	: c	71 	73 	62 	: u	37 	36 	67 	37 
F,Y55-74,FAM,FOR,2008	64 	49 	54 	30 	43 	63 	59 	44 	38 u	71 	60 	51 	58 	45 	50 	61 	39 
F,Y55-74,FAM,NEU_HDI_H,2008	59 u	: 	67 u	24 u	56 	64 	53 	59 u	37 u	84 u	63 	39 	: u	57 	45 	45 u	47 
F,Y55-74,FAM,NEU_HDI_L,2008	: u	: 	: c	: 	: c	: u	42 u	: c	: 	: c	: c	: c	51 	: c	63 	: c	: u
F,Y55-74,FAM,NEU_HDI_M,2008	83 	: 	: u	: u	58 	72 u	37 	: u	: c	: u	52 	: c	: u	: u	58 	: c	: u
F,Y55-74,FAM,NEU_NHDI,2008	: 	: 	: c	: 	: c	: 	: c	: 	: 	: 	50 u	: c	: c	: 	: c	: c	: 
F,Y55-74,FAM,NRP,2008	: 	49 	: 	: 	: 	: c	: 	: 	: 	: 	: 	: 	: 	42 u	: 	: 	: 
F,Y55-74,INTPRO,EU27_FOR,2008	: u	: 	: c	: c	: c	: c	: c	: c	: 	: u	: c	: u	: 	: c	: c	: c	2 u
F,Y55-74,INTPRO,FOR,2008	: u	14 	: c	9 u	: c	: u	: u	: c	: c	: u	7 	: u	: u	11 	4 u	7 u	2 u
F,Y55-74,INTPRO,NEU_HDI_H,2008	: u	: 	: 	13 u	: 	: u	: c	: 	: c	: 	10 u	: u	: 	33 	: u	: c	: u
F,Y55-74,INTPRO,NEU_HDI_L,2008	: c	: 	: 	: 	: 	: c	: c	: 	: 	: 	: u	: 	: u	: 	: u	: c	: 
F,Y55-74,INTPRO,NEU_HDI_M,2008	: 	: 	: 	: c	: 	: c	: c	: 	: 	: 	5 u	: 	: c	: c	: c	: c	: c
F,Y55-74,INTPRO,NEU_NHDI,2008	: 	: 	: c	: 	: 	: 	: c	: 	: 	: 	: u	: c	: 	: c	: c	: c	: 
F,Y55-74,INTPRO,NRP,2008	: 	14 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 
F,Y55-74,OTH,EU27_FOR,2008	17 	: 	38 	: u	55 	: u	8 u	49 	: c	8 u	15 u	16 u	: u	26 	17 u	8 u	17 
F,Y55-74,OTH,FOR,2008	15 	19 	35 	20 	33 	17 	8 	39 	34 u	8 u	19 	9 u	26 	18 	14 	11 	17 
F,Y55-74,OTH,NEU_HDI_H,2008	: c	: 	: u	19 u	14 	: u	10 u	: c	34 u	: c	12 u	: c	: u	: u	14 u	: c	18 u
F,Y55-74,OTH,NEU_HDI_L,2008	: u	: 	: c	: c	: 	: u	: c	: 	: 	: 	: 	: 	: u	: c	: u	: 	: c
F,Y55-74,OTH,NEU_HDI_M,2008	: c	: 	: c	: u	20 u	: u	: c	: c	: 	: c	24 	: 	: c	: c	12 u	: c	: u
F,Y55-74,OTH,NEU_NHDI,2008	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: c	: 	: 	: 	: 
F,Y55-74,OTH,NRP,2008	: 	19 	: 	: 	: 	: 	: 	: 	: 	: 	: c	: 	: 	: c	: 	: 	: 
F,Y55-74,WRK_JOB,EU27_FOR,2008	10 u	: 	: u	: c	11 	: u	6 u	: u	: 	15 	5 u	: u	: 	16 	16 u	16 	27 
F,Y55-74,WRK_JOB,FOR,2008	8 u	11 	: u	: u	11 	: u	10 	10 u	: u	14 	6 	8 u	: u	12 	9 	12 	25 
F,Y55-74,WRK_JOB,NEU_HDI_H,2008	: u	: 	: c	: u	13 	: c	10 u	: c	: u	: c	12 u	: u	: c	: c	: u	: 	17 u
F,Y55-74,WRK_JOB,NEU_HDI_L,2008	: 	: 	: 	: 	: 	: c	: c	: 	: 	: 	: 	: 	: c	: 	: c	: c	: c
F,Y55-74,WRK_JOB,NEU_HDI_M,2008	: 	: 	: c	: c	: c	: c	23 u	: c	: 	: 	5 u	: c	: 	: 	: u	: 	: u
F,Y55-74,WRK_JOB,NEU_NHDI,2008	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: c	: 	: 	: 	: 	: 	: 
F,Y55-74,WRK_JOB,NRP,2008	: 	11 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 
F,Y55-74,WRK_NJOB,EU27_FOR,2008	: u	: 	: u	36 u	7 u	: u	8 u	: u	: 	4 u	: c	: u	: 	13 	15 u	9 u	13 
F,Y55-74,WRK_NJOB,FOR,2008	6 u	7 	: u	38 	12 	10 u	19 	: u	: c	4 u	4 u	24 	: u	10 	9 	8 u	13 
F,Y55-74,WRK_NJOB,NEU_HDI_H,2008	: u	: 	: c	41 	17 	: u	23 	: c	: c	: 	: c	43 	: u	: c	: u	: c	14 u
F,Y55-74,WRK_NJOB,NEU_HDI_L,2008	: c	: 	: c	: 	: 	: c	: c	: 	: 	: 	: 	: 	: c	: 	: u	: 	: 
F,Y55-74,WRK_NJOB,NEU_HDI_M,2008	: c	: 	: 	: c	17 u	: u	33 u	: 	: 	: c	6 u	: c	: c	: 	: u	: 	: u
F,Y55-74,WRK_NJOB,NEU_NHDI,2008	: 	: 	: 	: 	: 	: 	: c	: 	: 	: 	: c	: 	: 	: 	: 	: 	: 
F,Y55-74,WRK_NJOB,NRP,2008	: 	7 	: 	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: c	: 	: 	: 
M,Y15-24,EDUC,EU27_FOR,2008	: c	: 	6 u	56 u	: 	: c	: c	: c	: 	: 	46 u	51 u	: 	: c	28 	: 	25 u
M,Y15-24,EDUC,FOR,2008	: u	: u	19 	16 u	4 u	: u	7 u	32 	: 	: 	33 	29 u	: c	: u	41 	22 u	23 u
M,Y15-24,EDUC,NEU_HDI_H,2008	: c	: 	40 u	: 	7 u	: u	15 u	: u	: 	: 	: c	: c	: 	: c	47 u	: c	: u
M,Y15-24,EDUC,NEU_HDI_L,2008	: c	: 	67 u	: 	: 	: u	: 	67 u	: 	: 	: 	: 	: 	: 	48 u	: 	: c
M,Y15-24,EDUC,NEU_HDI_M,2008	: c	: 	72 	: 	: c	: u	: 	: c	: 	: 	: u	: c	: c	: c	60 	: c	: c
M,Y15-24,EDUC,NEU_NHDI,2008	: 	: 	: c	: 	: 	: 	: 	: 	: 	: 	72 u	: c	: 	: 	: c	: 	: 
M,Y15-24,EDUC,NRP,2008	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
M,Y15-24,FAM,EU27_FOR,2008	: u	: 	6 u	: c	35 	: u	51 	: u	: 	: u	: u	: u	: u	: u	: c	: c	22 u
M,Y15-24,FAM,FOR,2008	: u	: u	7 	14 u	50 	: u	44 	18 u	: c	33 u	28 	42 	: u	48 u	9 u	47 u	33 u
M,Y15-24,FAM,NEU_HDI_H,2008	: 	: 	: u	22 u	51 	: u	39 	44 u	: c	: 	46 u	67 u	: u	: u	: u	: c	54 u
M,Y15-24,FAM,NEU_HDI_L,2008	: c	: 	: 	: 	: 	: 	29 u	: c	: 	: 	: c	: 	: c	: c	: u	: c	: c
M,Y15-24,FAM,NEU_HDI_M,2008	: u	: 	: u	: u	63 	: u	69 	: 	: 	: c	: u	: c	: u	: u	: u	: u	: c
M,Y15-24,FAM,NEU_NHDI,2008	: 	: 	: c	: 	: 	: 	: 	: 	: 	: 	: c	: c	: 	: c	: c	: c	: 
M,Y15-24,FAM,NRP,2008	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: c	: 
M,Y15-24,INTPRO,EU27_FOR,2008	: 	: 	: 	: 	: 	: 	: 	: 	: 	: c	: 	: 	: 	: c	: c	: 	: 
M,Y15-24,INTPRO,FOR,2008	: c	: u	: u	: c	: 	: u	: 	10 u	: 	: c	17 u	: u	: 	: u	8 u	: u	: u
M,Y15-24,INTPRO,NEU_HDI_H,2008	: c	: 	: c	: 	: 	: c	: 	: c	: 	: 	: c	: u	: 	: c	: u	: c	: u
M,Y15-24,INTPRO,NEU_HDI_L,2008	: c	: 	: u	: c	: 	: c	: 	: u	: 	: 	71 u	: c	: 	: c	: u	: c	: 
M,Y15-24,INTPRO,NEU_HDI_M,2008	: 	: 	: c	: c	: 	: c	: 	: c	: 	: 	: c	: 	: 	: u	: u	: c	: c
M,Y15-24,INTPRO,NEU_NHDI,2008	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: c	: 	: 	: u	: c	: c	: 
M,Y15-24,INTPRO,NRP,2008	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
M,Y15-24,OTH,EU27_FOR,2008	: c	: 	6 u	: c	: c	: c	: 	: 	: 	33 u	: c	: c	: 	: c	: c	: 	: u
M,Y15-24,OTH,FOR,2008	: c	: u	6 	: c	3 u	: u	: c	: 	: 	31 u	10 u	: c	: c	: u	: u	: c	13 u
M,Y15-24,OTH,NEU_HDI_H,2008	: c	: 	: c	: c	6 u	: c	: c	: 	: 	: 	: c	: c	: 	: c	: c	: c	: u
M,Y15-24,OTH,NEU_HDI_L,2008	: c	: 	: c	: 	: 	: c	: 	: 	: 	: 	: c	: 	: c	: c	: c	: 	: c
M,Y15-24,OTH,NEU_HDI_M,2008	: 	: 	: 	: 	: c	: c	: 	: 	: 	: 	: c	: 	: 	: c	: c	: c	: 
M,Y15-24,OTH,NEU_NHDI,2008	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: c	: 	: 	: 	: 	: 	: 
M,Y15-24,OTH,NRP,2008	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
M,Y15-24,WRK_JOB,EU27_FOR,2008	: u	: 	14 	: 	11 u	: c	: c	: c	: 	: c	: c	: u	: c	: 	17 u	: c	21 u
M,Y15-24,WRK_JOB,FOR,2008	: u	: c	13 	: u	9 	: c	14 	: u	: 	: c	: u	: u	: u	: 	12 	: c	14 u
M,Y15-24,WRK_JOB,NEU_HDI_H,2008	: 	: 	: u	: u	6 u	: c	20 u	: c	: 	: 	: c	: c	: c	: 	: u	: 	: u
M,Y15-24,WRK_JOB,NEU_HDI_L,2008	: 	: 	: c	: 	: c	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
M,Y15-24,WRK_JOB,NEU_HDI_M,2008	: 	: 	: c	: c	10 u	: 	: 	: c	: 	: 	: 	: 	: 	: 	: c	: 	: 
M,Y15-24,WRK_JOB,NEU_NHDI,2008	: 	: 	: 	: 	: 	: 	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
M,Y15-24,WRK_JOB,NRP,2008	: 	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
M,Y15-24,WRK_NJOB,EU27_FOR,2008	: c	: 	67 	35 u	52 	: 	36 u	59 u	: 	: c	: c	: c	: c	: 	50 	: c	: u
M,Y15-24,WRK_NJOB,FOR,2008	: c	: u	54 	62 	34 	: u	33 	34 	: 	: c	: c	: u	: u	: c	26 	: c	15 u
M,Y15-24,WRK_NJOB,NEU_HDI_H,2008	: 	: 	: u	65 	30 	: c	22 	: u	: 	: 	: 	: c	: u	: c	: c	: 	: u
M,Y15-24,WRK_NJOB,NEU_HDI_L,2008	: 	: 	: 	98 	: c	: c	51 u	: u	: 	: 	: 	: 	: c	: 	: c	: c	: c
M,Y15-24,WRK_NJOB,NEU_HDI_M,2008	: 	: 	: c	59 u	22 	: 	31 u	: u	: 	: 	: 	: 	: c	: 	: u	: 	: c
M,Y15-24,WRK_NJOB,NEU_NHDI,2008	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: c	: 	: 	: 	: 	: 	: 
M,Y15-24,WRK_NJOB,NRP,2008	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
M,Y15-64,EDUC,EU27_FOR,2008	: u	: 	3 	14 	1 u	: u	3 u	: c	: 	: c	7 	15 	: c	5 u	14 	6 u	5 
M,Y15-64,EDUC,FOR,2008	8 	7 	8 	2 	4 	17 	3 	12 	: c	1 u	9 	9 	5 	5 	22 	6 	6 
M,Y15-64,EDUC,NEU_HDI_H,2008	8 u	: 	15 	: c	4 	15 u	4 	5 u	: c	: c	5 	5 u	: c	5 u	27 	12 u	5 
M,Y15-64,EDUC,NEU_HDI_L,2008	22 u	: 	30 	: 	4 u	34 u	3 u	58 	: 	: c	4 u	: u	: u	: u	25 	: c	13 u
M,Y15-64,EDUC,NEU_HDI_M,2008	11 u	: 	29 	: 	5 	25 u	2 u	11 u	: 	: 	9 	: u	: u	: u	25 	: c	19 u
M,Y15-64,EDUC,NEU_NHDI,2008	: 	: 	: c	: 	: c	: 	: 	: 	: 	: 	40 	: u	: 	: 	: c	: 	: 
M,Y15-64,EDUC,NRP,2008	: 	7 	: 	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
M,Y15-64,FAM,EU27_FOR,2008	34 	: 	14 	10 u	18 	20 u	17 	30 	: c	18 	33 	19 	: u	33 	7 	51 	16 
M,Y15-64,FAM,FOR,2008	32 	32 	15 	8 	19 	27 	14 	20 	24 u	18 	34 	22 	24 	33 	18 	43 	20 
M,Y15-64,FAM,NEU_HDI_H,2008	27 	: 	17 	8 	21 	31 	15 	16 	: u	19 u	43 	25 	20 	36 	17 	33 	24 
M,Y15-64,FAM,NEU_HDI_L,2008	22 u	: 	7 u	: u	: c	23 u	6 	: c	: 	: u	18 	: c	27 	27 u	30 	63 	24 u
M,Y15-64,FAM,NEU_HDI_M,2008	39 	: 	21 	10 u	19 	31 u	14 	: u	: c	: u	36 	31 u	25 	27 	21 	23 u	23 u
M,Y15-64,FAM,NEU_NHDI,2008	: 	: 	: u	: 	: c	: 	: c	: c	: 	: 	12 u	: u	: 	: u	: u	55 u	: 
M,Y15-64,FAM,NRP,2008	: 	32 	: 	: 	: 	: 	: 	: 	: 	: 	: c	: 	: 	26 u	: 	: c	: 
M,Y15-64,INTPRO,EU27_FOR,2008	: u	: 	: u	: c	: 	: u	: 	: c	: 	3 	: u	11 	: 	6 u	: u	: c	: u
M,Y15-64,INTPRO,FOR,2008	11 	17 	2 	7 	1 	5 u	0 u	10 	: 	5 	17 	17 	: u	31 	8 	20 	6 
M,Y15-64,INTPRO,NEU_HDI_H,2008	26 	: 	5 u	8 	: c	: u	: u	12 u	: 	13 u	21 	16 	: 	39 	11 	34 	13 
M,Y15-64,INTPRO,NEU_HDI_L,2008	35 	: 	21 	: u	: c	: u	: c	23 u	: 	: c	58 	59 	: u	48 	14 	: u	25 u
M,Y15-64,INTPRO,NEU_HDI_M,2008	: c	: 	: u	: u	: c	: u	: c	26 u	: 	: c	12 	: u	: 	52 	7 	42 	9 u
M,Y15-64,INTPRO,NEU_NHDI,2008	: c	: 	: u	: 	: c	: 	: 	: 	: 	: c	10 u	: u	: 	: u	57 u	36 u	: c
M,Y15-64,INTPRO,NRP,2008	: 	17 	: 	: u	: 	: c	: 	: 	: 	: 	: 	: 	: 	51 	: 	: 	: 
M,Y15-64,OTH,EU27_FOR,2008	18 	: 	15 	11 u	18 	15 u	2 u	16 	: c	16 	20 	10 	: u	16 	9 	10 u	16 
M,Y15-64,OTH,FOR,2008	13 	15 	14 	5 	9 	10 	3 	9 	43 u	17 	15 	6 	15 	12 	12 	14 	15 
M,Y15-64,OTH,NEU_HDI_H,2008	11 u	: 	14 	5 	9 	: u	3 	5 u	45 u	20 u	10 	3 u	: u	11 	16 	16 u	14 
M,Y15-64,OTH,NEU_HDI_L,2008	: u	: 	11 u	: 	: c	: u	: u	: c	: 	: u	11 u	: c	28 	: u	14 	: u	13 u
M,Y15-64,OTH,NEU_HDI_M,2008	7 u	: 	7 u	: c	3 	: u	2 u	: c	: c	: u	18 	: u	: u	11 u	10 	23 u	10 u
M,Y15-64,OTH,NEU_NHDI,2008	: 	: 	: c	: 	: 	: 	: c	: 	: 	: c	13 u	: c	: 	: 	: c	: c	: 
M,Y15-64,OTH,NRP,2008	: 	15 	: 	: c	: 	: 	: 	: 	: 	: 	: c	: 	: 	: u	: 	: c	: 
M,Y15-64,WRK_JOB,EU27_FOR,2008	27 	: 	20 	6 u	14 	23 u	21 	25 	: c	52 	31 	24 	: u	27 	29 	22 	46 
M,Y15-64,WRK_JOB,FOR,2008	16 	18 	21 	7 	13 	12 	18 	17 	23 u	48 	13 	12 	11 	12 	19 	10 	34 
M,Y15-64,WRK_JOB,NEU_HDI_H,2008	9 u	: 	29 	7 	15 	: u	17 	9 u	: u	36 	11 	8 	15 	7 	19 	: u	18 
M,Y15-64,WRK_JOB,NEU_HDI_L,2008	: c	: 	16 	11 u	9 u	: u	18 	: c	: 	: c	: u	: 	: u	: c	6 	: u	17 u
M,Y15-64,WRK_JOB,NEU_HDI_M,2008	10 u	: 	24 	11 u	10 	: u	17 	24 u	: 	: u	9 	: c	: u	: u	22 	: c	28 
M,Y15-64,WRK_JOB,NEU_NHDI,2008	: 	: 	: c	: 	: 	: 	: u	: 	: c	: 	: u	: c	: 	: 	: 	: c	: c
M,Y15-64,WRK_JOB,NRP,2008	: 	18 	: 	: 	: 	: 	: 	: 	: 	: 	: c	: 	: 	: u	: 	: u	: c
M,Y15-64,WRK_NJOB,EU27_FOR,2008	15 	: 	49 	58 	49 	37 	57 	27 	: c	11 	8 	21 	38 	12 	41 	10 u	16 
M,Y15-64,WRK_NJOB,FOR,2008	19 	11 	40 	70 	54 	28 	62 	32 	: u	11 	12 	33 	44 	6 	21 	7 	19 
M,Y15-64,WRK_NJOB,NEU_HDI_H,2008	18 	: 	20 	72 	51 	28 	60 	53 	: u	: u	11 	44 	58 	: u	10 	: u	26 
M,Y15-64,WRK_NJOB,NEU_HDI_L,2008	: u	: 	15 	81 	76 	23 u	70 	13 u	: 	: c	7 u	: u	31 	: c	12 	: u	: u
M,Y15-64,WRK_NJOB,NEU_HDI_M,2008	32 	: 	18 	71 	62 	22 u	65 	26 u	: c	: u	17 	23 u	42 	: u	14 	: u	11 u
M,Y15-64,WRK_NJOB,NEU_NHDI,2008	: 	: 	: c	: 	: 	: 	83 	: 	: 	: 	20 	: u	: 	: 	: c	: c	: 
M,Y15-64,WRK_NJOB,NRP,2008	: 	11 	: 	: c	: 	: c	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 
M,Y15-74,EDUC,EU27_FOR,2008	: u	: 	2 	13 	1 u	: u	3 u	: c	: 	: c	7 	14 	: c	5 u	14 	4 u	5 
M,Y15-74,EDUC,FOR,2008	7 	7 	8 	2 	4 	15 	3 	11 	: c	1 u	8 	10 	5 	5 	21 	5 	6 
M,Y15-74,EDUC,NEU_HDI_H,2008	8 u	: 	15 	: c	5 	13 u	4 	5 u	: c	: c	4 	5 u	: c	5 u	27 	11 u	5 
M,Y15-74,EDUC,NEU_HDI_L,2008	23 u	: 	30 	: 	4 u	33 u	3 u	57 	: 	: c	4 u	: u	: u	: u	25 	: c	13 u
M,Y15-74,EDUC,NEU_HDI_M,2008	9 u	: 	29 	: 	5 	22 u	3 u	11 u	: 	: 	9 	23 u	: u	: u	25 	: c	20 u
M,Y15-74,EDUC,NEU_NHDI,2008	: 	: 	: c	: 	: c	: 	: 	: 	: 	: 	39 	: u	: 	: 	: c	: 	: 
M,Y15-74,EDUC,NRP,2008	: 	7 	: 	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
M,Y15-74,FAM,EU27_FOR,2008	34 	: 	15 	10 u	18 	17 u	17 	27 	: c	18 	34 	21 	: u	35 	8 	54 	15 
M,Y15-74,FAM,FOR,2008	32 	31 	15 	8 	19 	24 	14 	19 	22 u	18 	33 	22 	25 	34 	18 	46 	19 
M,Y15-74,FAM,NEU_HDI_H,2008	27 	: 	17 	8 	21 	29 	16 	15 	20 u	18 u	42 	24 	20 	34 	18 	34 	24 
M,Y15-74,FAM,NEU_HDI_L,2008	22 u	: 	8 u	: u	: c	22 u	6 	: c	: 	: u	18 	: c	28 	26 u	29 	66 	24 u
M,Y15-74,FAM,NEU_HDI_M,2008	38 	: 	21 	10 u	19 	29 u	14 	13 u	: c	: u	33 	31 u	26 	27 	21 	22 u	23 u
M,Y15-74,FAM,NEU_NHDI,2008	: 	: 	: u	: 	: c	: 	: c	: c	: 	: 	12 u	: u	: 	: u	: u	55 u	: 
M,Y15-74,FAM,NRP,2008	: 	31 	: 	: 	: 	: 	: 	: 	: 	: 	: c	: 	: 	41 	: 	: c	: c
M,Y15-74,INTPRO,EU27_FOR,2008	: u	: 	: u	: u	: 	: u	: c	: c	: 	3 	: u	11 	: 	6 	: u	: c	1 u
M,Y15-74,INTPRO,FOR,2008	10 	17 	2 	7 	0 	5 u	1 u	10 	: 	5 	16 	17 	: u	29 	8 	16 	6 
M,Y15-74,INTPRO,NEU_HDI_H,2008	24 	: 	5 u	9 	: c	: u	: u	12 u	: 	14 u	20 	16 	: 	37 	10 	32 	13 
M,Y15-74,INTPRO,NEU_HDI_L,2008	34 	: 	21 	: u	: c	: u	: c	23 u	: 	: c	58 	59 	: u	50 	13 	: u	25 u
M,Y15-74,INTPRO,NEU_HDI_M,2008	: c	: 	: u	: u	: c	: u	: c	26 u	: 	: c	11 	: u	: 	51 	7 	40 	9 u
M,Y15-74,INTPRO,NEU_NHDI,2008	: c	: 	: u	: 	: c	: 	: 	: 	: 	: c	10 u	: u	: 	: u	56 u	36 u	: c
M,Y15-74,INTPRO,NRP,2008	: 	17 	: 	: u	: 	: c	: 	: 	: 	: 	: 	: 	: 	40 	: 	: 	: 
M,Y15-74,OTH,EU27_FOR,2008	18 	: 	15 	11 	23 	18 u	3 	24 	: c	16 	21 	12 	: u	16 	8 	10 	18 
